"p16a","p16b","p18a","ly18b","ly13a","ly13b","ly16a","ly16b","ly18a","p18b","ly20","ly7"
"ENSMUSG00000021711.16",1133,2388,2132,2061,2287,2666,2074,3622,3075,1514,1987,3653
"ENSMUSG00000021712.14",261,591,348,315,351,473,398,625,481,322,389,618
"ENSMUSG00000021713.8",399,730,652,201,246,258,279,478,402,408,284,247
"ENSMUSG00000021714.14",784,906,983,540,894,493,759,657,758,775,551,577
"ENSMUSG00000021715.12",611,814,933,572,690,687,656,681,858,579,622,751
"ENSMUSG00000021716.14",2292,2656,2367,2805,3216,2310,3354,2996,3606,2087,3394,3796
"ENSMUSG00000021718.5",2,1,0,0,0,0,0,0,0,0,4,0
"ENSMUSG00000021719.8",178,197,154,61,63,54,106,99,85,127,83,125
"ENSMUSG00000021720.10",18,168,133,138,89,184,62,279,212,90,151,363
"ENSMUSG00000021721.4",4,2,1,3,0,1,4,0,0,0,7,3
"ENSMUSG00000021725.8",358,664,398,307,346,453,322,515,314,299,484,627
"ENSMUSG00000021728.7",267,375,318,84,216,174,228,215,279,230,180,241
"ENSMUSG00000021730.8",25,8,14,26,17,33,37,17,21,9,41,19
"ENSMUSG00000021731.9",391,327,243,262,480,249,592,357,326,178,431,358
"ENSMUSG00000021732.14",695,741,553,2567,2277,3533,5301,4559,4172,439,4296,5107
"ENSMUSG00000021733.9",359,336,303,166,205,222,489,336,320,190,330,322
"ENSMUSG00000021737.3",2726,5268,4380,3832,5330,4442,4198,5575,5765,3725,3757,5657
"ENSMUSG00000021738.4",301,343,292,177,155,219,332,259,195,249,255,255
"ENSMUSG00000021741.3",2056,2821,2902,2718,4372,2016,3393,3104,3704,2309,2928,2989
"ENSMUSG00000021743.5",1,0,1,3,0,0,0,0,0,9,0,0
"ENSMUSG00000021745.13",370,433,470,186,282,278,521,290,416,292,351,417
"ENSMUSG00000021747.11",254,204,190,232,305,228,423,428,384,172,466,517
"ENSMUSG00000021748.8",1953,3985,3754,3663,4562,4038,3101,4710,4663,2523,3443,5674
"ENSMUSG00000021749.5",3,10,6,7,12,15,6,6,15,4,3,8
"ENSMUSG00000021750.15",1003,1168,1277,2297,2920,2167,3245,2616,3441,993,4098,4360
"ENSMUSG00000021751.13",2,21,3,7,17,9,0,10,9,3,3,11
"ENSMUSG00000021752.12",300,330,290,314,368,268,555,525,401,258,427,501
"ENSMUSG00000021754.17",758,2879,2175,794,485,1670,679,2812,1920,1875,821,2123
"ENSMUSG00000021756.12",1169,1164,881,165,331,513,338,241,249,683,395,309
"ENSMUSG00000021758.13",17,20,6,15,6,4,29,7,6,16,0,12
"ENSMUSG00000021759.13",217,231,193,208,210,285,208,291,263,174,282,444
"ENSMUSG00000021760.3",2713,4373,4338,1330,2161,1679,1335,1920,1657,3344,1222,1776
"ENSMUSG00000021763.16",128,133,116,33,75,70,58,46,31,73,55,32
"ENSMUSG00000021764.6",4532,5909,6428,6569,8429,5121,6882,6820,7825,4721,6739,7517
"ENSMUSG00000021765.7",298,256,232,345,215,279,293,341,199,255,169,323
"ENSMUSG00000021767.16",957,1143,867,456,630,755,1157,648,689,660,844,1105
"ENSMUSG00000021768.15",0,3,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021770.10",1138,2532,2345,1894,2357,1591,1463,2358,2738,1828,1582,2710
"ENSMUSG00000021771.13",5692,10134,9947,8346,10234,9936,7949,11002,12345,7090,9162,12765
"ENSMUSG00000021772.14",347,479,459,558,875,509,672,773,752,345,708,843
"ENSMUSG00000021773.10",25,18,16,21,31,25,44,40,38,17,37,51
"ENSMUSG00000021774.12",419,971,715,1393,1366,1343,953,1877,2002,609,1293,2161
"ENSMUSG00000021775.10",215,172,152,178,125,195,262,168,213,151,222,307
"ENSMUSG00000021779.16",863,1723,1212,2256,1331,4083,2129,4434,3377,1209,3281,5327
"ENSMUSG00000021782.14",1497,1311,1042,553,864,925,1540,1028,994,764,1299,1234
"ENSMUSG00000021785.7",521,821,462,264,338,390,495,489,509,507,411,588
"ENSMUSG00000021786.12",61,108,116,34,42,49,57,61,52,63,61,68
"ENSMUSG00000021789.14",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021790.12",0,2,0,9,0,0,3,1,2,2,2,2
"ENSMUSG00000021791.6",0,6,0,15,4,1,16,8,7,7,6,10
"ENSMUSG00000021792.15",1216,1983,1683,2620,2956,3015,3055,3808,4514,1276,3039,3757
"ENSMUSG00000021794.15",2120,1674,1482,1048,1269,1426,2494,1491,1435,1068,2221,1950
"ENSMUSG00000021795.9",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021796.14",1617,1604,1232,562,682,790,1516,920,857,966,823,1030
"ENSMUSG00000021797.1",1,0,0,0,0,0,1,0,0,0,1,0
"ENSMUSG00000021798.13",16,29,7,44,17,21,10,41,45,11,63,80
"ENSMUSG00000021799.8",4,7,3,6,1,1,0,0,1,5,0,7
"ENSMUSG00000021803.9",26,44,54,164,181,295,441,472,371,25,371,576
"ENSMUSG00000021804.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021806.3",971,1675,1140,100,809,1116,209,280,128,759,155,413
"ENSMUSG00000021807.5",6257,10606,6588,5747,7948,5773,6892,10888,10833,8687,6362,11239
"ENSMUSG00000021809.9",213,414,390,169,207,184,134,238,203,278,151,323
"ENSMUSG00000021810.2",1034,2508,2244,1138,1349,1809,1186,1845,2106,1441,1477,2253
"ENSMUSG00000021811.6",2791,3654,2833,2992,3177,3170,3679,3857,5271,2637,4297,4499
"ENSMUSG00000021814.16",861,1488,1382,445,613,657,550,670,784,1000,439,901
"ENSMUSG00000021815.3",23,25,22,0,3,11,11,8,3,10,9,4
"ENSMUSG00000021816.10",2212,1931,1688,2079,2272,1989,4020,3073,2466,1461,3547,3178
"ENSMUSG00000021819.10",996,863,768,370,557,590,731,444,549,535,849,768
"ENSMUSG00000021820.16",1206,1519,1103,851,1089,1027,1639,1279,1318,1136,1885,2137
"ENSMUSG00000021822.2",5,4,6,0,0,1,1,2,0,3,0,1
"ENSMUSG00000021823.9",66,190,122,18,36,48,17,19,38,111,12,52
"ENSMUSG00000021824.12",1376,2586,2006,1094,1145,2278,1475,2107,2109,1329,1729,2186
"ENSMUSG00000021830.13",306,477,362,324,328,564,558,531,511,301,399,639
"ENSMUSG00000021831.8",340,325,282,111,186,225,317,167,215,215,240,257
"ENSMUSG00000021832.7",3548,7286,7180,4479,5822,5542,3299,6533,6261,4915,3700,6171
"ENSMUSG00000021835.14",683,796,789,130,235,301,208,300,249,673,138,348
"ENSMUSG00000021838.16",913,888,786,64,210,205,177,105,69,554,135,90
"ENSMUSG00000021840.16",4212,5956,4441,1715,2197,3672,3617,4185,3998,4390,3674,4976
"ENSMUSG00000021843.16",1171,1368,1180,615,1151,1303,1027,1039,860,827,621,870
"ENSMUSG00000021846.8",937,681,596,935,771,815,2140,1006,1358,476,1890,1620
"ENSMUSG00000021848.15",477,634,599,250,188,236,263,337,324,430,195,266
"ENSMUSG00000021850.13",3,3,3,0,0,0,2,0,2,2,0,0
"ENSMUSG00000021852.13",3,2,3,0,6,3,0,0,0,1,0,10
"ENSMUSG00000021866.15",417,585,549,148,193,205,254,177,199,409,200,266
"ENSMUSG00000021867.16",3075,5011,5321,3806,4431,2694,3983,4673,6631,3971,2752,4463
"ENSMUSG00000021868.6",482,380,349,431,532,357,754,390,650,322,772,863
"ENSMUSG00000021870.17",1145,841,720,628,632,812,1607,938,928,548,1202,1254
"ENSMUSG00000021871.17",1022,1740,1761,1116,1283,1192,999,1216,1649,1090,1297,1829
"ENSMUSG00000021872.7",0,0,1,1,0,0,0,0,0,1,0,0
"ENSMUSG00000021874.12",12,3,1,1,0,1,0,3,1,6,0,2
"ENSMUSG00000021876.14",883,1482,1486,68,211,242,134,175,136,908,141,165
"ENSMUSG00000021877.11",9352,19009,14740,8080,8553,13031,10192,14682,13324,11448,11996,16801
"ENSMUSG00000021879.12",0,3,0,0,0,1,2,0,0,0,0,0
"ENSMUSG00000021880.6",10,10,7,9,4,5,0,10,6,8,0,5
"ENSMUSG00000021884.17",165,496,541,200,241,250,139,287,293,300,193,294
"ENSMUSG00000021886.6",11,8,16,4,5,0,3,1,3,9,1,0
"ENSMUSG00000021890.5",397,481,344,133,269,349,299,338,301,282,317,428
"ENSMUSG00000021891.7",1078,1979,1723,1063,1374,1262,1161,1729,1666,1029,1575,1579
"ENSMUSG00000021892.14",1124,860,698,580,695,607,1223,604,695,604,1067,1160
"ENSMUSG00000021893.13",1030,766,642,553,634,727,1351,780,778,532,1229,1106
"ENSMUSG00000021895.9",188,313,269,29,71,107,63,69,43,191,54,50
"ENSMUSG00000021898.14",0,6,2,0,1,0,0,3,0,6,0,0
"ENSMUSG00000021900.10",336,631,593,138,202,236,160,192,212,305,198,278
"ENSMUSG00000021901.10",2145,2751,2215,1518,1660,1679,2730,2311,2351,1746,3179,3357
"ENSMUSG00000021902.6",205,280,162,139,117,140,144,226,239,222,203,275
"ENSMUSG00000021903.11",7,3,4,2,9,7,3,0,0,2,6,4
"ENSMUSG00000021904.5",16,19,18,0,8,7,21,10,3,15,17,17
"ENSMUSG00000021905.13",1241,2446,2070,1454,1837,1488,1406,1894,2186,1669,1504,2327
"ENSMUSG00000021906.13",334,705,556,488,522,599,387,669,621,341,507,858
"ENSMUSG00000021907.12",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021908.9",710,1527,1022,406,398,813,616,862,713,778,556,823
"ENSMUSG00000021910.15",4978,5639,4706,2057,3360,3424,3099,2842,3035,3235,3151,4227
"ENSMUSG00000021911.15",730,900,751,605,825,863,1357,978,960,605,1077,1449
"ENSMUSG00000021913.7",16,43,18,7,7,11,15,25,32,13,23,133
"ENSMUSG00000021916.15",511,942,910,268,539,511,429,463,427,592,281,411
"ENSMUSG00000021917.14",2842,6768,7400,4690,7249,4387,3651,5325,5754,5296,2854,5262
"ENSMUSG00000021918.9",178,427,335,162,182,315,198,319,446,189,393,423
"ENSMUSG00000021919.7",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000021922.15",0,3,2,0,0,0,2,0,2,0,1,3
"ENSMUSG00000021927.7",6514,11381,12420,7294,9486,9150,6128,10105,12622,7968,8900,11478
"ENSMUSG00000021928.8",338,377,244,206,254,226,412,418,464,367,402,460
"ENSMUSG00000021929.8",1461,2141,1599,1202,1414,1793,1952,2015,1799,1238,1909,2359
"ENSMUSG00000021930.14",390,437,291,429,457,442,634,591,588,312,698,767
"ENSMUSG00000021932.13",790,1308,1301,1039,1501,939,1233,1305,1575,1102,1249,1420
"ENSMUSG00000021933.11",1,2,0,0,2,0,0,2,0,0,1,2
"ENSMUSG00000021936.13",738,658,596,952,889,910,1529,1260,1133,434,1475,1492
"ENSMUSG00000021938.11",505,625,731,627,755,600,697,728,718,450,572,873
"ENSMUSG00000021939.7",2785,6734,5656,1320,1924,2296,1492,1976,2320,3580,1922,2356
"ENSMUSG00000021940.9",9,7,14,10,5,13,10,7,2,2,5,2
"ENSMUSG00000021943.6",1236,1658,1183,138,582,631,306,269,127,952,148,269
"ENSMUSG00000021944.15",0,0,0,5,0,0,0,0,3,1,1,0
"ENSMUSG00000021945.8",1093,1567,1073,703,859,1195,1433,1356,1101,865,1194,1342
"ENSMUSG00000021947.10",1468,2373,2528,786,1141,807,816,748,1331,1528,1143,1329
"ENSMUSG00000021948.15",261,412,356,398,544,423,357,518,572,288,519,748
"ENSMUSG00000021950.15",43,74,119,9,9,2,1,15,5,83,6,21
"ENSMUSG00000021951.5",1379,2689,3383,2278,3347,2126,2046,2620,3270,2051,2217,3316
"ENSMUSG00000021952.15",236,400,289,52,94,154,132,99,97,205,143,138
"ENSMUSG00000021953.14",0,1,0,6,8,2,0,4,0,0,0,5
"ENSMUSG00000021957.6",5947,9371,9623,2842,4433,4585,4273,3712,5005,5472,5037,5246
"ENSMUSG00000021958.4",862,1058,1103,1030,1263,756,1221,892,1081,783,1051,1110
"ENSMUSG00000021959.15",709,796,635,242,247,382,529,388,292,579,351,449
"ENSMUSG00000021961.5",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000021962.8",521,792,525,243,255,438,439,497,395,393,466,422
"ENSMUSG00000021963.16",8983,13474,14762,12027,16696,10566,12347,13545,16992,10836,13434,16873
"ENSMUSG00000021965.2",255,472,302,100,152,183,155,195,254,213,162,201
"ENSMUSG00000021966.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021967.3",1572,2146,1650,1719,820,1735,2055,2380,3159,1906,2267,3238
"ENSMUSG00000021969.7",1054,2006,1535,409,403,866,402,656,643,1130,352,640
"ENSMUSG00000021972.14",658,654,452,344,380,377,716,446,426,400,768,631
"ENSMUSG00000021973.8",1516,1394,1347,1035,1345,1074,1862,1232,1291,1009,1826,1777
"ENSMUSG00000021974.14",391,467,388,501,685,563,825,908,832,352,858,1072
"ENSMUSG00000021975.7",909,1890,1911,669,916,1115,821,1020,1206,1052,1108,1314
"ENSMUSG00000021977.11",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021978.8",1363,952,785,267,412,388,784,453,543,586,844,593
"ENSMUSG00000021981.9",1548,3091,2448,982,1254,1513,1519,1996,1823,1644,1441,2110
"ENSMUSG00000021982.13",589,1428,1187,1172,1227,1398,824,1813,1745,1026,1114,1696
"ENSMUSG00000021983.15",155,338,332,296,358,161,218,292,331,221,218,290
"ENSMUSG00000021986.7",271,202,164,377,723,484,769,445,471,129,1117,1071
"ENSMUSG00000021987.8",913,1786,1032,1029,865,1463,1872,2133,1639,892,1714,2139
"ENSMUSG00000021990.15",683,782,644,249,381,614,541,544,541,568,556,676
"ENSMUSG00000021991.8",111,92,85,93,139,129,146,125,63,47,192,166
"ENSMUSG00000021993.9",209,211,224,184,191,163,306,178,223,143,330,190
"ENSMUSG00000021994.14",1210,1542,1640,1020,1047,992,1312,1104,1211,983,1217,1483
"ENSMUSG00000021996.16",5356,7671,8391,5572,9059,5972,6839,6393,7684,5961,6655,8341
"ENSMUSG00000021997.4",7,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021998.16",436,578,579,18,75,80,45,40,59,408,43,41
"ENSMUSG00000021999.8",0,1,0,4,2,1,3,0,0,0,0,1
"ENSMUSG00000022000.10",1397,1433,1411,765,1362,1326,1369,995,954,963,1154,1140
"ENSMUSG00000022002.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022003.6",52,83,55,32,22,47,9,72,53,74,38,86
"ENSMUSG00000022008.3",797,1066,914,691,840,686,929,968,988,619,1099,1154
"ENSMUSG00000022009.1",545,583,424,534,470,418,758,762,770,317,638,723
"ENSMUSG00000022010.19",12557,21289,17093,13103,15135,15206,12788,18141,18680,17371,13690,22562
"ENSMUSG00000022012.8",158,162,108,377,490,332,632,552,426,96,440,724
"ENSMUSG00000022013.3",1776,2645,2464,3036,5017,2492,3392,3124,3971,1976,3506,3728
"ENSMUSG00000022014.14",9,7,12,7,8,12,4,13,0,8,5,9
"ENSMUSG00000022015.8",0,1,1,0,0,0,0,4,0,1,1,0
"ENSMUSG00000022016.15",749,753,687,310,415,528,648,424,299,396,365,440
"ENSMUSG00000022018.7",706,1273,373,1233,1120,661,1565,1692,2783,787,6043,8779
"ENSMUSG00000022019.15",1221,1827,1404,822,788,1188,1149,1385,1437,1060,1275,1602
"ENSMUSG00000022020.14",665,725,558,275,327,450,657,565,482,483,472,476
"ENSMUSG00000022021.13",295,313,224,116,184,215,145,135,121,171,122,191
"ENSMUSG00000022022.2",210,434,460,344,365,543,222,482,471,309,298,445
"ENSMUSG00000022023.5",2187,2312,2197,1841,2640,1912,3263,2704,2573,1601,2893,2543
"ENSMUSG00000022024.9",3665,5158,5047,3120,5117,3485,4389,4159,4435,3601,3661,4204
"ENSMUSG00000022025.13",14687,37203,39202,5020,11748,13185,3812,7326,8343,18102,6117,9773
"ENSMUSG00000022026.6",5,22,15,1,1,5,0,0,5,10,1,10
"ENSMUSG00000022031.5",2477,4123,3605,1404,2018,2057,2412,2144,2168,2433,2737,2739
"ENSMUSG00000022032.14",332,535,386,119,138,193,81,175,105,345,95,165
"ENSMUSG00000022033.9",1288,2699,2672,1429,2530,2407,1457,2214,3284,1582,1621,2269
"ENSMUSG00000022034.9",461,679,736,350,481,471,357,390,555,444,364,492
"ENSMUSG00000022035.5",1634,1773,1722,2065,2318,1974,2957,2152,2570,1191,2849,2803
"ENSMUSG00000022037.14",5263,14118,16837,19646,15839,24069,9565,17732,21313,8049,13723,28252
"ENSMUSG00000022039.5",0,0,0,0,0,0,1,0,0,1,0,0
"ENSMUSG00000022040.7",73,183,145,21,41,72,4,47,29,82,25,25
"ENSMUSG00000022041.10",0,0,0,0,0,2,1,1,0,0,0,0
"ENSMUSG00000022043.18",1820,2583,1937,1904,2364,2513,2768,2673,2462,1733,2891,3906
"ENSMUSG00000022044.14",757,906,629,4138,3424,3328,4425,5457,5297,697,7373,6117
"ENSMUSG00000022048.8",27029,64937,43259,30225,15397,73742,29885,90585,69795,46286,54846,91775
"ENSMUSG00000022051.15",7965,12433,12624,13081,17001,12675,14328,15824,19376,8622,18308,19033
"ENSMUSG00000022052.8",2393,2397,2201,1615,2072,1583,2591,2151,1945,1606,2364,2391
"ENSMUSG00000022053.13",962,1703,1326,205,233,392,345,455,269,912,274,392
"ENSMUSG00000022054.11",4961,5354,3725,21146,27687,19997,33146,22642,21947,3313,30373,34285
"ENSMUSG00000022055.7",4109,3931,2994,14719,17753,15616,24979,22459,18295,2870,24609,23267
"ENSMUSG00000022056.8",5,3,11,1,3,11,3,0,5,3,2,12
"ENSMUSG00000022057.7",2,0,0,0,0,0,0,0,0,0,0,3
"ENSMUSG00000022061.8",0,2,0,2,2,0,1,0,0,3,1,2
"ENSMUSG00000022064.9",282,497,495,220,311,330,382,348,311,263,279,339
"ENSMUSG00000022066.16",95,119,67,25,38,54,64,80,91,101,55,129
"ENSMUSG00000022070.6",597,950,875,269,413,318,313,376,451,588,347,453
"ENSMUSG00000022074.5",244,475,200,57,60,106,74,160,111,208,88,108
"ENSMUSG00000022075.6",487,354,282,586,637,550,1190,687,788,242,1387,996
"ENSMUSG00000022076.9",2,4,16,0,0,1,1,3,6,9,0,0
"ENSMUSG00000022085.3",3,3,8,14,19,16,26,2,12,4,5,20
"ENSMUSG00000022089.8",648,1177,985,890,1127,1038,743,1045,1412,862,1032,1466
"ENSMUSG00000022090.10",1028,1755,1886,374,693,541,351,343,471,1228,524,782
"ENSMUSG00000022091.5",2226,4428,4939,733,912,1043,759,914,1280,2859,988,1419
"ENSMUSG00000022092.10",74,48,64,80,49,77,64,52,83,32,106,90
"ENSMUSG00000022094.15",311,328,230,60,43,101,98,76,58,159,60,121
"ENSMUSG00000022095.9",563,482,357,309,341,268,511,415,428,339,636,550
"ENSMUSG00000022096.14",223,63,96,72,126,110,291,99,109,48,217,207
"ENSMUSG00000022097.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022098.9",1073,1103,964,260,415,524,499,407,405,667,515,634
"ENSMUSG00000022099.16",143,268,192,472,402,479,415,583,562,200,545,805
"ENSMUSG00000022100.13",995,1065,914,483,564,735,954,659,773,769,812,973
"ENSMUSG00000022101.5",1,7,11,11,37,6,22,32,58,8,46,25
"ENSMUSG00000022102.13",84,168,109,27,24,30,42,56,77,122,38,80
"ENSMUSG00000022103.9",156,196,161,28,37,42,70,29,36,114,50,62
"ENSMUSG00000022105.6",269,259,213,359,357,424,820,543,475,187,576,636
"ENSMUSG00000022106.14",1892,2988,2382,1191,1728,1762,2162,2068,2599,1621,2286,2497
"ENSMUSG00000022108.7",3663,5404,2835,1297,2400,2451,2654,4326,4574,4045,3132,4083
"ENSMUSG00000022109.5",2343,3067,3545,3258,4009,2804,3947,4447,4851,2205,4725,4748
"ENSMUSG00000022110.13",1272,2292,1849,1846,1990,2648,1940,2900,2628,1674,2134,2636
"ENSMUSG00000022111.8",1755,2285,1867,2879,3599,2914,3953,3991,4810,1893,4084,4426
"ENSMUSG00000022112.14",9,17,12,27,18,31,39,33,37,14,26,62
"ENSMUSG00000022113.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022114.4",1363,2383,814,351,459,1258,1113,1858,1671,2075,2193,2121
"ENSMUSG00000022116.7",0,0,0,0,0,0,0,0,1,0,0,2
"ENSMUSG00000022119.15",926,1310,990,565,871,1008,876,883,847,696,750,1003
"ENSMUSG00000022120.3",918,1404,1213,1071,1623,1141,1604,1365,1321,827,1298,1534
"ENSMUSG00000022122.14",874,1623,1059,142,229,418,159,382,224,809,111,197
"ENSMUSG00000022123.8",18,34,31,61,79,144,22,105,115,36,110,167
"ENSMUSG00000022124.14",620,646,484,292,233,283,600,564,310,375,427,444
"ENSMUSG00000022125.6",398,451,287,152,184,162,288,228,220,317,276,282
"ENSMUSG00000022126.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022129.3",335,455,525,20,96,79,52,89,29,324,18,38
"ENSMUSG00000022130.9",393,1322,1249,415,486,621,276,708,629,754,352,681
"ENSMUSG00000022131.2",646,591,470,169,250,197,307,209,203,427,269,221
"ENSMUSG00000022132.15",28,43,44,3,4,19,10,13,13,16,3,1
"ENSMUSG00000022136.7",1075,1019,754,294,540,483,750,501,473,572,580,563
"ENSMUSG00000022139.16",4280,5155,3715,1019,1225,1818,2337,2195,1633,3334,1730,2284
"ENSMUSG00000022141.6",2792,2950,2735,1077,2096,2263,2179,1837,1630,1589,2003,1843
"ENSMUSG00000022142.7",473,708,484,191,302,513,364,356,324,330,312,361
"ENSMUSG00000022144.3",10,20,10,15,7,6,41,23,29,14,28,23
"ENSMUSG00000022146.12",24,15,22,5,0,4,5,9,5,15,3,4
"ENSMUSG00000022148.15",346,519,496,138,174,211,208,232,234,322,287,340
"ENSMUSG00000022149.17",1,3,2,0,0,0,0,0,2,1,0,0
"ENSMUSG00000022150.16",2522,5166,4280,198,549,1015,433,730,386,3154,298,595
"ENSMUSG00000022151.16",658,1629,1500,1648,1842,1687,1258,2294,2197,1062,1195,2323
"ENSMUSG00000022155.8",0,0,0,0,0,0,0,0,2,0,1,0
"ENSMUSG00000022156.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022157.7",0,2,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022159.16",262,491,495,340,427,433,318,460,443,305,500,683
"ENSMUSG00000022160.17",368,798,794,411,500,677,426,524,721,456,564,759
"ENSMUSG00000022174.8",5952,9338,10277,5307,7915,4564,5027,5969,6951,7217,5415,7039
"ENSMUSG00000022175.8",405,390,273,129,213,208,381,190,243,243,357,287
"ENSMUSG00000022176.11",26,58,9,41,42,38,51,111,43,10,41,66
"ENSMUSG00000022177.8",593,747,453,204,195,168,281,174,455,582,313,385
"ENSMUSG00000022178.10",523,613,531,465,473,416,621,503,582,431,629,631
"ENSMUSG00000022179.4",175,203,188,120,154,212,146,186,278,153,170,243
"ENSMUSG00000022180.6",78,171,94,14,22,35,24,35,38,83,9,19
"ENSMUSG00000022181.15",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022184.8",192,146,127,66,88,90,186,94,71,107,105,110
"ENSMUSG00000022185.18",2150,2313,2341,1846,2412,1832,2863,2471,2374,1390,2312,3334
"ENSMUSG00000022186.14",3527,3881,2971,1161,1957,1833,2261,1422,1546,2529,1955,2018
"ENSMUSG00000022187.2",0,0,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022191.15",2001,1824,1744,1734,1866,2232,3795,2897,2650,1193,3421,3670
"ENSMUSG00000022193.6",4307,4588,4425,5491,7315,4985,6859,6069,7943,4264,7235,8331
"ENSMUSG00000022194.15",191,183,135,29,76,60,107,79,69,155,82,83
"ENSMUSG00000022195.6",630,1022,747,427,465,592,618,692,681,519,737,902
"ENSMUSG00000022197.15",783,771,732,63,267,326,228,126,106,532,145,260
"ENSMUSG00000022199.10",439,472,438,270,386,282,503,338,374,306,361,560
"ENSMUSG00000022200.7",2048,2322,2183,1311,1238,1418,2275,1857,1734,1877,1650,2233
"ENSMUSG00000022201.15",3729,6931,5749,2314,2723,3215,3100,3450,3458,3541,3499,4401
"ENSMUSG00000022203.6",827,774,686,355,395,388,562,444,685,645,731,797
"ENSMUSG00000022204.8",2087,3031,3334,2110,2881,2103,2174,2516,3131,2277,2577,2739
"ENSMUSG00000022205.15",17688,29584,31264,30678,42314,25146,27795,37015,35482,25000,22944,31076
"ENSMUSG00000022206.6",155,150,113,13,38,14,22,70,22,108,19,19
"ENSMUSG00000022208.11",492,240,229,1271,1515,875,2905,1225,1524,171,3470,2288
"ENSMUSG00000022209.12",45,34,29,26,48,31,22,24,22,28,57,48
"ENSMUSG00000022210.6",1334,2577,2554,1976,2624,1889,1491,2271,2897,1828,2476,3065
"ENSMUSG00000022211.8",89,73,48,333,403,256,611,438,490,66,765,771
"ENSMUSG00000022212.15",11,19,11,30,34,40,27,37,67,8,64,47
"ENSMUSG00000022214.14",1268,2603,2361,2218,1847,2883,2570,3315,4112,1584,3242,5172
"ENSMUSG00000022215.5",5,7,2,0,3,0,5,0,0,5,2,0
"ENSMUSG00000022216.16",2552,3292,3592,2486,3367,1891,2526,2257,3257,2323,3120,3531
"ENSMUSG00000022217.14",44,44,41,130,160,114,198,142,171,52,196,189
"ENSMUSG00000022218.15",2,1,3,2,0,2,0,0,0,3,7,0
"ENSMUSG00000022219.9",9,5,6,4,5,5,2,1,4,4,3,4
"ENSMUSG00000022220.13",149,221,167,24,46,64,29,58,31,128,8,38
"ENSMUSG00000022221.13",476,1043,1161,84,180,264,60,114,101,585,58,112
"ENSMUSG00000022223.8",1535,2348,2581,2062,2567,2039,2051,2273,2975,1702,2676,3655
"ENSMUSG00000022225.6",86,111,189,14,16,23,10,10,18,81,1,7
"ENSMUSG00000022226.5",1,6,2,0,0,0,0,0,0,1,0,0
"ENSMUSG00000022227.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022228.13",3369,5746,2366,485,364,1501,822,2011,1853,4249,2011,2542
"ENSMUSG00000022229.2",0,0,0,0,0,5,0,0,0,0,0,2
"ENSMUSG00000022231.9",1048,1172,891,87,303,323,300,251,148,582,173,154
"ENSMUSG00000022234.14",12637,25921,25510,12671,17647,17027,14021,17761,20936,14660,16995,20316
"ENSMUSG00000022235.14",27,49,65,40,63,47,45,28,30,49,38,65
"ENSMUSG00000022236.9",47,52,76,30,41,27,27,14,48,52,54,60
"ENSMUSG00000022237.16",9,11,14,4,4,0,16,9,5,8,15,20
"ENSMUSG00000022240.9",914,925,849,2945,3789,2492,4389,4222,3572,816,4602,6040
"ENSMUSG00000022241.5",2063,3003,2873,1334,1857,1986,1703,1935,2328,2029,1828,2271
"ENSMUSG00000022243.10",13,31,30,0,2,6,0,2,0,19,1,1
"ENSMUSG00000022244.6",482,615,470,267,181,394,328,341,418,445,406,520
"ENSMUSG00000022245.15",2,2,5,4,13,4,22,24,16,4,22,21
"ENSMUSG00000022246.13",886,1056,725,408,351,691,626,592,471,661,611,831
"ENSMUSG00000022247.12",2459,4775,4775,3141,4645,3899,3060,4783,4496,3349,3381,4144
"ENSMUSG00000022248.14",379,775,691,631,731,770,621,1106,1059,525,572,1096
"ENSMUSG00000022249.13",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022253.14",714,938,803,392,408,545,564,715,566,763,531,639
"ENSMUSG00000022255.15",887,1035,768,305,593,529,883,681,535,616,550,738
"ENSMUSG00000022257.3",449,805,795,970,1268,1308,950,1339,1425,530,782,1669
"ENSMUSG00000022261.5",1119,2391,2013,598,652,1016,509,947,852,1430,471,993
