"p16a","p16b","p18a","ly18b","ly13a","ly13b","ly16a","ly16b","ly18a","p18b","ly20","ly7"
"ENSMUSG00000000394.15",6,6,11,7,0,2,0,8,0,10,1,1
"ENSMUSG00000000399.10",2628,4708,5091,3269,5397,4219,3649,4549,5297,2918,4448,5198
"ENSMUSG00000000402.2",175,237,212,44,91,110,27,72,43,185,49,67
"ENSMUSG00000000409.14",202,457,517,317,419,301,361,487,688,297,396,729
"ENSMUSG00000000411.7",0,1,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000000416.16",402,539,429,113,143,206,281,243,124,316,152,192
"ENSMUSG00000000420.15",1969,1545,1356,530,752,808,1299,807,699,985,1066,841
"ENSMUSG00000000435.1",4,9,2,0,0,4,0,0,0,9,0,2
"ENSMUSG00000000439.9",708,1464,1280,700,766,770,778,933,1154,774,1023,1486
"ENSMUSG00000000440.12",4,7,4,5,4,11,10,0,10,5,5,3
"ENSMUSG00000000441.17",240,425,310,246,189,249,219,285,344,238,368,502
"ENSMUSG00000000486.13",346,388,427,120,146,113,150,123,172,317,189,174
"ENSMUSG00000000489.6",114,94,126,21,46,53,37,17,13,94,18,25
"ENSMUSG00000000530.16",162,223,157,18,18,40,27,26,6,115,21,60
"ENSMUSG00000000531.4",114,62,75,73,95,65,220,104,117,72,154,74
"ENSMUSG00000000532.10",180,134,97,149,150,181,292,231,201,102,232,260
"ENSMUSG00000000538.18",949,1081,677,494,658,741,1016,858,808,687,1205,1685
"ENSMUSG00000000544.14",0,0,1,4,0,0,0,0,0,0,1,0
"ENSMUSG00000000552.9",294,142,137,470,444,474,818,589,614,131,859,1054
"ENSMUSG00000000555.6",521,635,471,71,154,168,154,142,55,347,79,101
"ENSMUSG00000000560.9",34,47,37,14,21,33,26,59,19,30,36,21
"ENSMUSG00000000561.14",1463,1890,1620,1453,1580,1778,2137,2359,2481,1279,2170,2644
"ENSMUSG00000000562.5",1,0,0,0,0,1,0,0,0,2,0,0
"ENSMUSG00000000563.17",10469,20745,20845,19213,27617,20017,16358,24905,25195,14623,18685,27118
"ENSMUSG00000000567.5",14453,17613,13906,3946,5686,6776,7865,7752,6883,11126,5823,7127
"ENSMUSG00000000568.15",6157,6713,6348,5164,7904,4924,7961,6279,6698,4675,6154,8176
"ENSMUSG00000000579.14",20899,34883,40315,36006,39135,22416,41073,48865,55422,20612,62350,54997
"ENSMUSG00000000581.8",3618,9492,9497,8666,9902,7706,5694,11569,10851,8136,5402,9924
"ENSMUSG00000000594.7",796,1722,1262,360,392,601,436,727,767,1198,628,861
"ENSMUSG00000000600.15",523,858,698,418,368,593,458,676,507,561,392,770
"ENSMUSG00000000605.9",1202,1793,1477,1045,1207,1611,1753,1527,1450,1073,1473,1961
"ENSMUSG00000000606.15",0,2,0,0,2,0,0,2,0,0,1,1
"ENSMUSG00000000617.14",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000627.15",87,63,74,104,164,132,221,147,165,62,204,277
"ENSMUSG00000000628.10",702,931,889,268,788,828,536,636,798,554,600,676
"ENSMUSG00000000631.20",976,942,798,357,563,651,743,566,498,636,685,917
"ENSMUSG00000000632.13",8,4,5,42,25,19,13,29,15,17,28,33
"ENSMUSG00000000673.8",3,7,14,0,0,0,0,0,2,6,0,0
"ENSMUSG00000000682.7",48,46,65,7,12,4,10,6,6,41,2,4
"ENSMUSG00000000686.11",9,3,12,30,28,26,58,39,34,0,60,33
"ENSMUSG00000000690.5",1,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000000693.10",698,1432,999,72,366,532,157,171,159,716,172,301
"ENSMUSG00000000701.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706.15",0,0,2,0,0,1,1,0,0,1,0,1
"ENSMUSG00000000708.14",189,187,155,177,150,152,273,155,170,149,233,261
"ENSMUSG00000000711.2",1818,3869,2995,1936,1877,2563,2266,2608,2802,2097,2549,3975
"ENSMUSG00000000724.10",7,13,1,77,66,34,37,86,60,7,56,73
"ENSMUSG00000000730.13",2,0,4,0,0,0,0,0,1,1,0,0
"ENSMUSG00000000731.15",8,1,4,1,1,0,2,0,4,6,2,0
"ENSMUSG00000000732.8",18,35,43,8,8,15,8,19,28,28,19,5
"ENSMUSG00000000738.18",506,411,403,138,222,182,354,215,190,269,364,267
"ENSMUSG00000000739.14",147,336,310,44,95,75,40,58,75,223,57,73
"ENSMUSG00000000740.12",92252,117227,49909,19139,14890,33981,54620,79839,87617,105118,64417,106690
"ENSMUSG00000000743.9",2208,5568,4365,2106,2227,3019,2419,3099,3319,3669,3346,4660
"ENSMUSG00000000751.13",1753,4604,3823,1030,1593,2381,1340,1846,1689,2558,1279,1855
"ENSMUSG00000000753.15",702,932,951,229,427,383,391,301,375,631,250,404
"ENSMUSG00000000759.14",528,936,782,358,507,670,450,704,735,516,572,721
"ENSMUSG00000000766.18",0,5,1,0,0,1,4,0,1,1,3,7
"ENSMUSG00000000776.12",614,1155,887,567,716,627,606,696,789,723,701,1170
"ENSMUSG00000000782.15",306,192,321,168,200,198,321,215,307,197,322,420
"ENSMUSG00000000787.12",8513,9995,9339,4556,6500,8307,8937,7466,6694,6228,7034,8383
"ENSMUSG00000000791.9",1,2,0,0,0,5,0,0,0,0,0,0
"ENSMUSG00000000792.2",6,5,0,16,7,8,6,38,21,4,25,20
"ENSMUSG00000000794.9",33,30,37,16,15,20,11,20,20,20,25,26
"ENSMUSG00000000804.14",454,412,312,344,425,546,882,639,553,290,869,881
