"ly13a","ly13b","ly16a","ly16b","ly18a","ly18b","ly20","ly7"
"ENSMUSG00000000562.5",0,1,0,0,0,0,0,0
"ENSMUSG00000000563.17",27617,20017,16358,24905,25195,19213,18685,27118
"ENSMUSG00000000567.5",5686,6776,7865,7752,6883,3946,5823,7127
"ENSMUSG00000000568.15",7904,4924,7961,6279,6698,5164,6154,8176
"ENSMUSG00000000579.14",39135,22416,41073,48865,55422,36006,62350,54997
"ENSMUSG00000000581.8",9902,7706,5694,11569,10851,8666,5402,9924
"ENSMUSG00000000594.7",392,601,436,727,767,360,628,861
"ENSMUSG00000000600.15",368,593,458,676,507,418,392,770
"ENSMUSG00000000605.9",1207,1611,1753,1527,1450,1045,1473,1961
"ENSMUSG00000000606.15",2,0,0,2,0,0,1,1
"ENSMUSG00000000617.14",0,0,0,0,0,0,0,0
"ENSMUSG00000000627.15",164,132,221,147,165,104,204,277
"ENSMUSG00000000628.10",788,828,536,636,798,268,600,676
"ENSMUSG00000000631.20",563,651,743,566,498,357,685,917
"ENSMUSG00000000632.13",25,19,13,29,15,42,28,33
"ENSMUSG00000000673.8",0,0,0,0,2,0,0,0
"ENSMUSG00000000682.7",12,4,10,6,6,7,2,4
"ENSMUSG00000000686.11",28,26,58,39,34,30,60,33
"ENSMUSG00000000690.5",0,0,1,0,0,0,0,0
"ENSMUSG00000000693.10",366,532,157,171,159,72,172,301
"ENSMUSG00000000701.7",0,0,0,0,0,0,0,0
"ENSMUSG00000000706.15",0,1,1,0,0,0,0,1
"ENSMUSG00000000708.14",150,152,273,155,170,177,233,261
"ENSMUSG00000000711.2",1877,2563,2266,2608,2802,1936,2549,3975
"ENSMUSG00000000724.10",66,34,37,86,60,77,56,73
"ENSMUSG00000000730.13",0,0,0,0,1,0,0,0
"ENSMUSG00000000731.15",1,0,2,0,4,1,2,0
"ENSMUSG00000000732.8",8,15,8,19,28,8,19,5
"ENSMUSG00000000738.18",222,182,354,215,190,138,364,267
"ENSMUSG00000000739.14",95,75,40,58,75,44,57,73
"ENSMUSG00000000740.12",14890,33981,54620,79839,87617,19139,64417,106690
"ENSMUSG00000000743.9",2227,3019,2419,3099,3319,2106,3346,4660
"ENSMUSG00000000751.13",1593,2381,1340,1846,1689,1030,1279,1855
"ENSMUSG00000000753.15",427,383,391,301,375,229,250,404
"ENSMUSG00000000759.14",507,670,450,704,735,358,572,721
"ENSMUSG00000000766.18",0,1,4,0,1,0,3,7
"ENSMUSG00000000776.12",716,627,606,696,789,567,701,1170
"ENSMUSG00000000782.15",200,198,321,215,307,168,322,420
"ENSMUSG00000000787.12",6500,8307,8937,7466,6694,4556,7034,8383
"ENSMUSG00000000791.9",0,5,0,0,0,0,0,0
"ENSMUSG00000000792.2",7,8,6,38,21,16,25,20
"ENSMUSG00000000794.9",15,20,11,20,20,16,25,26
"ENSMUSG00000000804.14",425,546,882,639,553,344,869,881
"ENSMUSG00000000805.18",9,0,0,0,0,0,3,0
"ENSMUSG00000000811.13",275,177,212,183,196,138,362,351
"ENSMUSG00000000817.10",0,0,4,0,0,0,0,0
"ENSMUSG00000000823.16",1396,1776,1557,1825,1881,1249,2268,2910
"ENSMUSG00000000826.16",2220,2252,3613,2731,3403,2030,4040,4169
"ENSMUSG00000000827.18",4345,3531,3636,4069,4945,3530,4708,5673
"ENSMUSG00000000838.17",931,1104,1517,1197,881,787,1014,1457
"ENSMUSG00000000861.15",1090,896,2024,1474,1314,1053,1777,1999
"ENSMUSG00000000869.12",27,26,41,39,33,28,42,46
"ENSMUSG00000000876.11",698,472,438,557,627,556,703,980
"ENSMUSG00000000881.12",534,530,848,616,653,388,909,748
"ENSMUSG00000000884.16",490,369,415,432,688,354,597,675
"ENSMUSG00000000889.8",0,0,0,0,0,0,0,0
"ENSMUSG00000000901.15",203,337,266,280,366,271,333,401
"ENSMUSG00000000902.13",6044,5934,5038,7035,9310,5385,7358,9040
"ENSMUSG00000000903.3",13,5,8,8,6,7,10,4
"ENSMUSG00000000915.15",181,172,329,143,193,67,309,271
"ENSMUSG00000000916.15",292,307,224,381,448,221,271,428
"ENSMUSG00000000934.8",363,424,289,451,602,312,487,742
"ENSMUSG00000000938.11",0,0,0,0,0,0,0,0
"ENSMUSG00000000942.10",0,0,0,0,0,0,0,0
"ENSMUSG00000000948.16",4,11,5,11,8,8,6,9
"ENSMUSG00000000957.9",1021,1148,1352,840,1105,664,1199,1213
"ENSMUSG00000000958.9",35,21,16,56,24,13,32,64
"ENSMUSG00000000959.6",1458,1054,1460,1576,1441,767,1536,1850
"ENSMUSG00000000976.13",1172,1299,1355,1361,1558,949,1443,1562
"ENSMUSG00000000982.5",2,0,0,5,0,1,3,0
"ENSMUSG00000000983.13",4,2,0,0,0,0,0,0
"ENSMUSG00000001014.5",6,9,6,8,2,0,0,1
"ENSMUSG00000001016.12",9037,8415,7744,9973,10806,7171,9738,11126
"ENSMUSG00000001017.15",2879,2699,5544,4239,3911,2499,4048,5083
"ENSMUSG00000001018.15",944,1486,1585,1939,2077,1244,1603,2203
"ENSMUSG00000001020.8",1,4,1,0,0,0,0,3
"ENSMUSG00000001021.12",0,0,0,0,0,1,1,2
"ENSMUSG00000001023.10",0,0,0,0,0,0,0,0
"ENSMUSG00000001025.8",211,112,181,206,258,183,151,270
"ENSMUSG00000001027.7",0,0,0,3,0,0,1,0
"ENSMUSG00000001029.15",43,29,29,14,36,17,10,39
"ENSMUSG00000001034.17",621,792,1090,1091,1056,625,1283,1796
"ENSMUSG00000001036.17",1115,1126,1432,1441,1396,1071,1606,1955
"ENSMUSG00000001039.12",2129,1113,1504,1626,2503,1475,1838,2136
"ENSMUSG00000001052.15",791,870,862,957,665,530,663,1030
"ENSMUSG00000001053.15",51,16,70,35,74,41,69,84
"ENSMUSG00000001054.9",714,667,816,1098,1247,791,1295,1599
"ENSMUSG00000001056.3",6101,3985,5446,5489,7276,5092,6256,7290
"ENSMUSG00000001062.18",528,334,659,584,640,473,534,863
"ENSMUSG00000001065.15",69,82,158,96,97,71,125,152
"ENSMUSG00000001076.6",0,0,0,0,0,0,0,0
"ENSMUSG00000001082.12",120,230,155,170,219,99,182,224
"ENSMUSG00000001089.14",766,681,1008,967,764,509,935,1215
"ENSMUSG00000001095.5",0,0,0,0,0,0,0,0
"ENSMUSG00000001098.15",277,525,244,691,617,269,368,818
"ENSMUSG00000001100.10",1257,1056,1755,1491,1686,997,2111,2356
"ENSMUSG00000001103.7",0,0,0,0,0,0,0,0
"ENSMUSG00000001105.15",6351,4317,5040,5383,5768,5036,5067,6200
"ENSMUSG00000001119.7",555,605,208,195,120,121,154,311
"ENSMUSG00000001120.15",2774,3889,5029,5887,6229,3553,7811,9033
"ENSMUSG00000001123.15",298,250,109,142,131,92,91,211
"ENSMUSG00000001127.12",2977,2560,2283,3467,3446,2373,3076,4475
"ENSMUSG00000001128.7",19,17,40,32,20,11,13,16
"ENSMUSG00000001131.11",181,151,115,170,127,65,74,164
"ENSMUSG00000001134.9",1429,773,1061,1007,1216,878,1076,1203
"ENSMUSG00000001138.13",96,105,169,166,157,106,175,166
"ENSMUSG00000001143.13",500,897,818,877,977,471,782,910
"ENSMUSG00000001150.6",516,589,530,495,409,253,512,741
"ENSMUSG00000001151.9",329,333,330,221,216,106,236,264
"ENSMUSG00000001155.13",7,12,8,7,5,5,5,9
"ENSMUSG00000001156.9",249,280,419,500,417,297,554,602
"ENSMUSG00000001157.13",840,822,1919,1408,1018,832,1358,1341
"ENSMUSG00000001158.13",6761,3843,5273,5595,5678,4966,5271,5781
"ENSMUSG00000001166.17",40,34,91,39,47,32,67,55
"ENSMUSG00000001168.16",0,0,0,3,1,0,0,0
"ENSMUSG00000001173.15",453,464,686,503,443,319,807,685
"ENSMUSG00000001175.13",62118,45251,49227,63346,67605,48503,75243,70420
"ENSMUSG00000001211.14",406,309,831,430,497,356,721,469
"ENSMUSG00000001225.12",0,0,0,0,0,0,0,0
"ENSMUSG00000001227.11",37,26,114,35,44,22,89,62
"ENSMUSG00000001228.14",1426,1723,1658,1244,1724,1028,1566,1661
"ENSMUSG00000001229.7",777,780,901,963,1024,650,1102,1422
"ENSMUSG00000001240.13",70,64,103,94,56,30,48,130
"ENSMUSG00000001247.16",49,72,49,83,159,63,110,123
"ENSMUSG00000001248.14",312,264,528,368,428,284,478,668
"ENSMUSG00000001249.14",214,252,292,353,476,203,268,501
"ENSMUSG00000001260.10",0,0,0,0,0,0,0,0
"ENSMUSG00000001270.8",10122,9435,13659,13326,18282,9853,16751,17363
"ENSMUSG00000001280.12",578,668,1069,681,765,490,881,821
"ENSMUSG00000001281.9",5,0,2,0,0,0,2,0
"ENSMUSG00000001285.12",2430,1680,1882,1996,2774,1793,2621,2660
"ENSMUSG00000001288.14",234,280,376,237,171,118,308,337
"ENSMUSG00000001289.12",18238,9376,12861,13049,15482,12505,12437,17440
"ENSMUSG00000001300.16",1232,1447,2908,2234,1517,1249,1789,1596
"ENSMUSG00000001305.5",1431,961,925,1544,1926,1058,1187,1468
"ENSMUSG00000001313.12",1198,756,1720,1052,1406,949,1555,1483
"ENSMUSG00000001323.17",304,393,446,412,436,321,452,718
"ENSMUSG00000001333.9",5,15,12,7,10,10,25,21
"ENSMUSG00000001334.9",72,73,104,63,53,49,51,93
"ENSMUSG00000001348.14",4,10,0,1,0,0,0,0
"ENSMUSG00000001349.4",3,8,0,10,1,5,3,3
"ENSMUSG00000001366.14",545,438,962,633,548,513,828,782
"ENSMUSG00000001376.17",345,560,413,471,362,242,488,438
"ENSMUSG00000001380.6",3206,2945,2989,3046,3608,2400,3093,4106
"ENSMUSG00000001383.8",6641,4342,6162,5861,7121,5285,6761,6857
"ENSMUSG00000001403.13",4489,2677,2648,3700,5859,2421,2530,3557
"ENSMUSG00000001415.10",740,557,1081,825,927,506,1225,1036
"ENSMUSG00000001416.13",8768,8420,6360,8377,10594,6418,7827,9567
"ENSMUSG00000001418.13",1125,991,789,950,1173,734,1126,1474
"ENSMUSG00000001419.17",285,360,392,323,340,189,439,500
"ENSMUSG00000001420.13",79,64,72,116,120,71,86,120
"ENSMUSG00000001424.14",1699,2474,1324,1288,1551,790,1758,1541
"ENSMUSG00000001435.14",639,752,838,563,808,500,726,972
"ENSMUSG00000001436.15",171,290,133,194,244,148,174,230
"ENSMUSG00000001440.5",3070,3328,4818,3338,3867,2486,4760,4542
"ENSMUSG00000001441.13",2598,2145,3631,2447,2636,1724,3137,3063
"ENSMUSG00000001444.2",4,0,0,0,0,0,0,0
"ENSMUSG00000001445.10",1580,1382,1126,1992,2114,1239,1500,2599
"ENSMUSG00000001467.5",344,554,459,599,500,276,358,476
"ENSMUSG00000001472.17",6543,5945,9199,7348,7899,5280,10302,12255
"ENSMUSG00000001473.6",416,441,190,304,300,164,223,376
"ENSMUSG00000001482.15",847,1056,1152,1121,1113,819,1484,1657
"ENSMUSG00000001493.9",3,13,17,0,23,15,6,2
"ENSMUSG00000001494.6",0,0,0,0,0,0,0,0
"ENSMUSG00000001496.15",0,0,0,0,0,0,0,0
"ENSMUSG00000001497.18",8,26,19,7,18,9,8,12
"ENSMUSG00000001504.10",689,434,1321,899,664,690,917,989
"ENSMUSG00000001506.10",4472,4961,1267,1354,672,545,1212,1282
"ENSMUSG00000001507.16",86,114,151,69,98,80,111,170
"ENSMUSG00000001508.15",0,1,0,3,0,0,0,0
"ENSMUSG00000001510.8",114,80,186,139,263,136,211,261
"ENSMUSG00000001517.14",302,248,453,259,387,246,444,368
"ENSMUSG00000001518.12",617,774,629,646,893,509,768,1122
"ENSMUSG00000001520.12",65,228,119,188,144,85,176,233
"ENSMUSG00000001521.12",477,411,1210,453,622,357,965,808
"ENSMUSG00000001524.14",734,841,618,753,1194,632,881,1142
"ENSMUSG00000001525.10",56561,61691,65788,80722,76399,47530,94800,106495
"ENSMUSG00000001542.6",172,150,254,219,141,94,163,204
"ENSMUSG00000001552.14",1413,999,1028,1409,1602,972,1596,2053
"ENSMUSG00000001555.10",757,1325,781,946,874,438,872,1632
"ENSMUSG00000001558.5",53,36,50,37,45,20,42,60
"ENSMUSG00000001566.9",0,0,0,0,0,0,0,0
"ENSMUSG00000001569.10",521,517,739,674,546,342,858,777
"ENSMUSG00000001576.14",1079,1126,1490,1340,1364,740,1301,1595
"ENSMUSG00000001583.13",21,41,27,34,84,23,39,72
"ENSMUSG00000001588.12",8,10,8,4,2,4,3,2
"ENSMUSG00000001604.14",459,208,278,264,392,232,429,369
"ENSMUSG00000001622.15",0,0,0,0,0,0,0,0
"ENSMUSG00000001627.11",557,376,1025,597,563,459,699,590
"ENSMUSG00000001630.13",888,1822,1042,2346,1770,850,1438,2763
"ENSMUSG00000001632.16",395,426,463,441,452,255,526,713
"ENSMUSG00000001642.18",3839,2935,2532,2146,3875,2267,2917,3551
"ENSMUSG00000001655.6",0,0,0,0,0,0,0,0
"ENSMUSG00000001656.3",0,0,1,0,0,0,0,0
"ENSMUSG00000001657.7",0,0,0,0,0,0,0,1
"ENSMUSG00000001661.5",0,0,1,0,0,0,0,0
"ENSMUSG00000001663.10",55,71,38,81,88,38,48,53
"ENSMUSG00000001665.10",214,225,195,288,268,149,204,296
"ENSMUSG00000001666.8",1222,695,953,894,1106,935,817,1140
"ENSMUSG00000001670.13",0,0,1,0,0,0,0,0
"ENSMUSG00000001672.14",108,57,162,115,114,76,139,108
"ENSMUSG00000001674.11",2491,1673,2203,2044,2062,1459,2068,2254
"ENSMUSG00000001687.15",2926,2827,3148,4604,4345,2626,3103,4648
"ENSMUSG00000001700.9",166,246,312,337,256,162,207,314
"ENSMUSG00000001707.7",5434,3660,3949,5068,4823,4032,4281,5524
"ENSMUSG00000001729.14",2568,2890,5545,3120,3521,2462,6260,5222
"ENSMUSG00000001739.14",1,3,4,0,1,0,3,1
"ENSMUSG00000001741.12",38,53,29,46,27,7,24,43
"ENSMUSG00000001750.15",41,74,34,83,34,37,42,58
"ENSMUSG00000001751.9",49,58,50,32,51,50,68,78
"ENSMUSG00000001755.12",766,821,784,754,941,540,734,1094
"ENSMUSG00000001761.7",833,781,1833,1109,1186,826,1462,1254
"ENSMUSG00000001763.14",33,29,16,30,45,27,32,58
