"ly13a","ly13b","ly16a","ly16b","ly18a","ly18b","ly20","ly7"
"ENSMUSG00000028518.8",229,254,369,329,353,257,419,602
"ENSMUSG00000028519.16",106,143,253,223,190,103,199,162
"ENSMUSG00000028520.12",0,0,0,0,0,0,0,0
"ENSMUSG00000028521.17",453,649,408,494,347,261,292,516
"ENSMUSG00000028522.16",1330,1794,1986,3018,2192,1276,1638,2576
"ENSMUSG00000028523.13",16,10,2,22,17,13,2,23
"ENSMUSG00000028524.21",333,383,449,467,302,328,366,619
"ENSMUSG00000028525.16",1521,1827,1706,1724,2061,1415,2502,3557
"ENSMUSG00000028527.18",128,107,215,123,169,87,185,153
"ENSMUSG00000028528.16",266,411,458,438,318,225,441,662
"ENSMUSG00000028530.14",1713,1488,1849,1345,1342,1051,1607,1652
"ENSMUSG00000028532.14",238,253,251,190,197,133,209,197
"ENSMUSG00000028533.10",0,0,0,0,0,0,0,0
"ENSMUSG00000028536.12",81,62,86,54,139,64,87,76
"ENSMUSG00000028538.12",62,49,176,144,113,66,153,179
"ENSMUSG00000028539.14",13,17,24,21,21,6,11,23
"ENSMUSG00000028540.6",450,351,324,365,489,288,479,531
"ENSMUSG00000028541.14",514,435,716,548,658,391,778,802
"ENSMUSG00000028542.17",5,19,5,24,24,15,13,25
"ENSMUSG00000028544.14",1,0,0,0,0,5,0,0
"ENSMUSG00000028545.13",773,582,913,834,880,662,950,1052
"ENSMUSG00000028546.17",11475,9999,13907,14350,12558,9476,15324,16108
"ENSMUSG00000028549.17",1556,1023,1331,1252,1574,1127,872,1335
"ENSMUSG00000028550.15",171,411,318,499,407,214,304,505
"ENSMUSG00000028551.14",64,70,108,41,51,41,79,67
"ENSMUSG00000028552.13",1178,1634,2437,2672,2082,1306,2101,2850
"ENSMUSG00000028553.12",1,1,0,2,1,1,1,1
"ENSMUSG00000028555.15",12,36,25,15,25,11,20,28
"ENSMUSG00000028556.15",684,922,729,743,620,339,562,898
"ENSMUSG00000028557.10",1637,1425,4472,2246,1793,1843,2881,2280
"ENSMUSG00000028558.14",0,8,0,0,0,0,0,7
"ENSMUSG00000028559.17",915,1283,939,1348,1236,844,1100,1802
"ENSMUSG00000028560.11",929,1020,1094,1092,1127,808,930,1033
"ENSMUSG00000028563.16",364,288,436,412,533,318,461,779
"ENSMUSG00000028565.18",11609,13155,12200,17768,14981,7606,13701,12686
"ENSMUSG00000028567.8",1226,968,677,1191,1333,766,752,1002
"ENSMUSG00000028568.16",8476,6753,5673,8839,8531,6557,5692,9384
"ENSMUSG00000028571.15",2,1,1,4,2,4,2,7
"ENSMUSG00000028572.13",253,268,518,275,332,227,405,408
"ENSMUSG00000028573.18",296,200,228,322,326,191,274,321
"ENSMUSG00000028575.11",3,4,0,0,0,0,0,4
"ENSMUSG00000028576.12",2595,1848,2098,2334,2420,1707,2163,2144
"ENSMUSG00000028577.13",1082,1060,1887,1241,1006,828,1385,1318
"ENSMUSG00000028578.8",252,227,337,393,326,240,219,318
"ENSMUSG00000028580.15",2061,2428,2967,2639,2824,1733,3401,3634
"ENSMUSG00000028581.17",41,59,18,11,43,20,56,141
"ENSMUSG00000028582.14",230,298,309,258,306,177,347,382
"ENSMUSG00000028583.14",666,794,616,975,876,562,928,998
"ENSMUSG00000028584.3",3,0,3,0,0,0,7,0
"ENSMUSG00000028587.18",61,76,78,108,76,35,73,112
"ENSMUSG00000028589.2",18,3,13,23,15,28,10,25
"ENSMUSG00000028590.6",3,0,0,0,0,0,0,0
"ENSMUSG00000028591.11",0,0,0,0,0,3,0,0
"ENSMUSG00000028593.5",0,0,0,0,0,0,0,0
"ENSMUSG00000028597.11",909,710,553,692,876,493,672,1035
"ENSMUSG00000028599.10",0,1,0,0,6,0,4,7
"ENSMUSG00000028600.15",11,10,7,5,4,2,10,6
"ENSMUSG00000028601.18",438,369,394,372,512,272,509,659
"ENSMUSG00000028602.12",0,10,4,7,3,2,1,9
"ENSMUSG00000028603.15",9797,7475,6486,8473,9743,7439,7990,10352
"ENSMUSG00000028607.16",450,621,493,753,827,393,562,885
"ENSMUSG00000028608.15",2685,1728,1825,1908,2372,1777,2028,2710
"ENSMUSG00000028609.6",7494,4355,5839,5349,6423,5218,5730,6158
"ENSMUSG00000028610.16",13,0,11,9,13,5,5,12
"ENSMUSG00000028612.10",0,0,0,0,0,0,0,0
"ENSMUSG00000028613.14",194,184,269,202,186,137,228,238
"ENSMUSG00000028614.14",173,326,318,354,276,186,286,324
"ENSMUSG00000028617.10",2274,2417,1692,3147,2934,1953,1805,3131
"ENSMUSG00000028618.11",4292,5082,2539,5145,4555,2976,2408,5093
"ENSMUSG00000028619.15",534,756,472,842,715,400,1160,1262
"ENSMUSG00000028621.17",284,279,301,446,346,238,334,549
"ENSMUSG00000028622.11",1391,1339,1439,1950,2211,1069,1521,2113
"ENSMUSG00000028626.5",3356,2926,2281,1202,1260,837,1769,1909
"ENSMUSG00000028629.9",764,1050,997,1315,1434,827,1186,1639
"ENSMUSG00000028630.8",108,185,262,239,253,155,341,338
"ENSMUSG00000028631.7",37,26,54,63,33,26,68,65
"ENSMUSG00000028633.7",757,1242,1152,1434,1430,749,1240,1693
"ENSMUSG00000028634.16",161,150,193,233,141,111,250,315
"ENSMUSG00000028635.7",19,8,7,9,49,14,7,21
"ENSMUSG00000028636.14",309,628,574,854,960,584,691,1136
"ENSMUSG00000028637.15",489,440,443,576,688,553,574,891
"ENSMUSG00000028639.14",8239,4912,8444,5909,7040,5767,7300,8840
"ENSMUSG00000028640.11",0,3,1,0,0,3,0,1
"ENSMUSG00000028641.16",637,674,353,289,221,155,319,403
"ENSMUSG00000028642.7",0,2,2,0,4,4,1,0
"ENSMUSG00000028643.11",4589,2840,3768,4170,4612,3602,3124,4659
"ENSMUSG00000028644.16",8,10,7,13,6,5,5,7
"ENSMUSG00000028645.11",342,372,315,324,354,125,294,387
"ENSMUSG00000028646.16",1064,922,1382,1057,1043,890,1379,1594
"ENSMUSG00000028647.13",1260,846,967,1079,1355,841,854,1274
"ENSMUSG00000028648.13",7698,4240,7247,6445,7112,5641,7827,8217
"ENSMUSG00000028649.17",513,621,696,527,397,299,482,501
"ENSMUSG00000028651.12",3171,2372,2048,2629,3514,2349,2741,3411
"ENSMUSG00000028653.16",534,549,500,576,753,387,466,881
"ENSMUSG00000028654.13",1033,836,1290,1300,1390,1084,1585,1682
"ENSMUSG00000028655.11",87,75,147,74,148,76,140,132
"ENSMUSG00000028656.14",849,1088,2329,1794,2994,1531,1219,1877
"ENSMUSG00000028657.14",636,962,562,813,1030,538,515,1031
"ENSMUSG00000028661.8",5,5,60,35,15,14,14,18
"ENSMUSG00000028664.14",291,302,484,226,296,196,376,306
"ENSMUSG00000028668.5",1160,1550,1160,1771,1569,795,1017,1911
"ENSMUSG00000028669.15",750,442,781,518,601,494,772,845
"ENSMUSG00000028670.14",1146,1123,1465,1704,1830,922,1549,2177
"ENSMUSG00000028671.16",964,1064,661,658,945,446,899,1080
"ENSMUSG00000028672.13",1900,1396,878,1169,1721,1184,1289,1759
"ENSMUSG00000028673.10",1218,983,724,1011,1298,676,842,1228
"ENSMUSG00000028675.12",3158,4676,3178,5503,5360,3216,3400,5623
"ENSMUSG00000028676.17",2561,4548,5703,7500,5414,3651,5214,6562
"ENSMUSG00000028677.18",1499,1218,2986,1412,1657,1219,2641,2312
"ENSMUSG00000028678.13",586,657,401,576,788,341,532,703
"ENSMUSG00000028680.14",82,46,132,99,46,79,130,107
"ENSMUSG00000028681.11",14,32,47,53,39,35,40,68
"ENSMUSG00000028683.14",1489,1404,1203,1476,1566,1050,976,1445
"ENSMUSG00000028684.14",3070,1987,2382,2257,2907,2051,2610,2970
"ENSMUSG00000028687.17",117,116,110,85,233,88,138,194
"ENSMUSG00000028688.13",356,326,388,310,382,250,365,470
"ENSMUSG00000028689.14",348,202,199,244,398,202,234,266
"ENSMUSG00000028690.4",615,612,488,727,829,526,523,1106
"ENSMUSG00000028691.12",40029,28135,19146,27254,33235,23357,20703,31203
"ENSMUSG00000028692.14",45807,34156,30241,44175,57815,38312,42705,66944
"ENSMUSG00000028693.15",3513,2512,3695,3039,4090,2633,3365,3291
"ENSMUSG00000028696.12",238,385,116,408,411,255,190,285
"ENSMUSG00000028698.13",729,1116,1365,1183,1020,851,1026,1346
"ENSMUSG00000028699.9",10,0,0,0,8,0,0,1
"ENSMUSG00000028700.14",403,316,586,452,418,312,608,502
"ENSMUSG00000028701.4",76,131,128,117,140,66,185,151
"ENSMUSG00000028702.15",323,408,413,520,780,385,477,665
"ENSMUSG00000028703.14",148,359,158,446,360,155,281,541
"ENSMUSG00000028706.14",358,322,297,423,409,277,264,523
"ENSMUSG00000028707.15",0,1,2,0,10,0,2,3
"ENSMUSG00000028708.16",342,436,358,375,443,287,373,678
"ENSMUSG00000028709.3",146,114,117,130,118,112,101,209
"ENSMUSG00000028710.16",651,495,756,763,826,506,909,1109
"ENSMUSG00000028712.12",0,0,0,0,0,0,0,0
"ENSMUSG00000028713.17",3,0,0,0,0,0,0,0
"ENSMUSG00000028715.2",0,0,0,0,0,0,0,0
"ENSMUSG00000028716.15",17,7,1,1,8,10,3,7
"ENSMUSG00000028717.12",5,3,6,18,3,5,7,8
"ENSMUSG00000028718.16",140,172,174,181,114,56,132,250
"ENSMUSG00000028719.8",2876,3465,3984,4779,4298,3222,4097,5570
"ENSMUSG00000028729.15",4241,3297,3785,4213,5183,3680,3736,4112
"ENSMUSG00000028730.14",21,15,49,10,26,44,19,28
"ENSMUSG00000028736.13",0,0,0,3,0,0,0,0
"ENSMUSG00000028737.15",207,164,293,190,196,186,350,362
"ENSMUSG00000028738.14",0,0,0,0,0,0,0,0
"ENSMUSG00000028741.13",2218,1572,1749,1940,2649,1738,1814,2248
"ENSMUSG00000028743.7",509,334,991,705,899,478,1263,1156
"ENSMUSG00000028744.15",129,168,85,234,196,92,194,243
"ENSMUSG00000028745.18",8369,7222,6453,9223,10032,6284,8429,11461
"ENSMUSG00000028747.10",0,0,0,0,0,0,0,0
"ENSMUSG00000028749.7",0,4,0,0,0,0,2,0
"ENSMUSG00000028750.12",44,21,25,45,68,34,46,48
"ENSMUSG00000028751.13",2,0,0,5,1,1,2,0
"ENSMUSG00000028753.12",1,0,7,25,8,5,7,1
"ENSMUSG00000028755.3",297,164,139,258,177,154,235,377
"ENSMUSG00000028756.12",1106,811,1706,1018,1351,1035,2415,1651
"ENSMUSG00000028757.4",1299,1183,1355,1339,1545,849,2332,2672
"ENSMUSG00000028758.12",22,33,41,39,23,14,42,47
"ENSMUSG00000028759.13",3524,3832,4224,4235,4434,3066,4117,6408
"ENSMUSG00000028760.16",2164,2522,3395,2459,1663,1209,2347,2343
"ENSMUSG00000028763.17",698,943,207,167,81,51,177,234
"ENSMUSG00000028766.10",7,34,5,30,20,15,17,49
"ENSMUSG00000028771.13",564,555,843,770,555,347,692,737
"ENSMUSG00000028772.19",7260,4477,5901,5853,6075,5044,6935,7705
"ENSMUSG00000028773.8",699,360,401,450,635,478,609,746
"ENSMUSG00000028776.14",27,20,11,20,21,17,56,51
"ENSMUSG00000028777.8",1,14,5,2,0,1,0,8
"ENSMUSG00000028778.15",3,0,1,1,0,0,3,0
"ENSMUSG00000028779.16",1436,1051,1352,1127,1789,1122,1752,2464
"ENSMUSG00000028780.13",188,346,216,163,74,74,108,152
"ENSMUSG00000028782.14",30,13,26,47,26,18,32,30
"ENSMUSG00000028784.13",1,1,0,1,0,0,0,3
"ENSMUSG00000028785.12",133,102,123,132,145,98,179,198
"ENSMUSG00000028786.15",97,40,128,64,108,58,83,89
"ENSMUSG00000028788.14",12669,27988,28691,35009,42289,21518,33099,33649
"ENSMUSG00000028789.16",161,198,291,152,218,148,278,290
"ENSMUSG00000028790.13",4948,4921,5571,5058,4706,3965,4488,6864
"ENSMUSG00000028792.14",2231,2202,2601,2682,3259,1710,3012,3478
"ENSMUSG00000028793.15",427,382,599,442,498,460,624,947
"ENSMUSG00000028794.13",3,3,0,0,2,1,0,3
"ENSMUSG00000028795.15",2275,1412,1690,1806,2130,1849,2312,2380
"ENSMUSG00000028796.17",2511,1943,4928,2852,3322,2546,4838,4255
"ENSMUSG00000028797.20",4734,3717,4525,4874,5949,3729,5167,6489
"ENSMUSG00000028798.16",15203,9427,9578,11533,14153,8951,10635,16178
"ENSMUSG00000028799.15",543,353,855,537,612,405,688,808
"ENSMUSG00000028800.15",5799,5649,4278,5094,6792,4191,5687,7128
"ENSMUSG00000028801.14",39,33,26,62,51,26,37,62
"ENSMUSG00000028803.18",121,144,178,180,164,136,257,204
"ENSMUSG00000028804.19",18,11,28,2,22,10,15,5
"ENSMUSG00000028807.2",148,173,172,209,172,132,151,256
"ENSMUSG00000028809.16",6814,5002,6210,5720,5863,4804,5098,5474
"ENSMUSG00000028811.11",1436,1285,1430,1462,1778,1228,1617,2155
"ENSMUSG00000028813.2",1,0,0,0,0,2,8,1
"ENSMUSG00000028820.13",7512,6043,9626,6997,6663,4872,8463,7393
"ENSMUSG00000028821.8",2633,1979,2140,2696,2818,1816,2108,2444
"ENSMUSG00000028822.11",3929,2965,1867,3464,3197,2394,1643,3364
"ENSMUSG00000028825.7",8,22,9,21,13,24,4,13
"ENSMUSG00000028826.14",706,721,1340,771,651,539,988,895
"ENSMUSG00000028830.14",283,330,311,332,376,235,461,466
"ENSMUSG00000028832.11",170028,107912,133440,152265,151490,157616,134249,175436
"ENSMUSG00000028833.13",274,217,397,289,381,215,459,496
"ENSMUSG00000028834.13",15,30,26,13,14,24,5,22
"ENSMUSG00000028836.14",15,32,13,18,23,17,21,10
"ENSMUSG00000028837.8",16590,9455,11746,12018,15951,11275,13636,15686
"ENSMUSG00000028838.11",270,366,302,222,263,194,199,338
"ENSMUSG00000028840.10",96,64,88,78,97,57,118,114
"ENSMUSG00000028841.14",88,119,131,135,156,103,156,197
"ENSMUSG00000028842.15",206,298,367,390,240,186,270,285
"ENSMUSG00000028843.8",9099,5363,4483,6376,8765,7028,6282,10440
"ENSMUSG00000028845.15",169,134,175,177,233,125,232,276
"ENSMUSG00000028847.8",3441,2604,2432,3563,3980,3401,3727,4660
"ENSMUSG00000028848.13",289,111,423,324,396,184,425,433
"ENSMUSG00000028849.17",2176,1409,2155,1648,2148,1693,2578,3300
"ENSMUSG00000028850.2",62,19,145,72,214,130,147,67
"ENSMUSG00000028851.6",3097,2516,4745,3478,4591,2878,4760,4943
"ENSMUSG00000028854.9",147,161,212,65,180,48,158,347
"ENSMUSG00000028857.16",1223,1356,1133,1566,1976,1121,1617,1933
"ENSMUSG00000028859.14",0,0,0,0,0,0,2,0
"ENSMUSG00000028860.13",0,1,2,0,8,7,3,13
"ENSMUSG00000028861.13",1263,1047,1960,2901,3138,1146,2849,3386
"ENSMUSG00000028862.6",17,39,22,35,15,13,14,43
"ENSMUSG00000028863.13",3133,2495,2997,3076,3663,2854,3765,4377
"ENSMUSG00000028864.7",23,42,17,36,35,29,17,12
"ENSMUSG00000028865.13",19,47,31,41,44,57,55,89
"ENSMUSG00000028868.13",1403,1515,2290,1703,2032,1337,2431,2225
"ENSMUSG00000028869.13",1484,1520,1359,1339,1372,965,1472,1480
"ENSMUSG00000028871.7",11,15,12,18,30,9,13,12
"ENSMUSG00000028873.16",2108,1875,1782,2166,3446,1346,2564,2264
"ENSMUSG00000028874.14",1,1,0,0,6,5,2,0
"ENSMUSG00000028876.7",6,6,3,5,0,11,2,14
"ENSMUSG00000028878.11",564,497,971,959,630,448,1100,997
"ENSMUSG00000028879.4",2979,3701,2874,4239,3876,2858,2957,5104
"ENSMUSG00000028882.13",2023,1430,1606,1840,2006,1570,1902,2657
"ENSMUSG00000028883.17",499,796,757,1086,644,411,591,1011
"ENSMUSG00000028884.14",2300,1850,1693,2071,2700,1589,2198,2241
"ENSMUSG00000028885.8",23,23,36,30,56,29,35,33
"ENSMUSG00000028886.15",468,417,567,397,510,367,600,636
"ENSMUSG00000028889.17",386,216,489,347,307,307,492,424
"ENSMUSG00000028890.13",586,440,486,472,587,386,533,788
"ENSMUSG00000028893.8",102,117,276,162,180,112,376,183
"ENSMUSG00000028894.18",289,344,303,465,379,208,356,410
"ENSMUSG00000028896.13",627,679,1017,615,1004,616,1141,1055
"ENSMUSG00000028898.15",608,383,854,618,787,499,984,1113
"ENSMUSG00000028899.11",2270,1757,2080,2306,2634,2058,2245,2458
"ENSMUSG00000028901.13",802,784,1303,1043,1134,706,1352,1323
"ENSMUSG00000028902.4",2728,2283,2510,2628,3353,2216,2943,2926
"ENSMUSG00000028906.16",1747,1819,3132,2184,2147,1525,3146,2928
"ENSMUSG00000028907.7",2910,1922,2112,2411,2538,1867,1945,2194
"ENSMUSG00000028909.17",248,384,630,311,368,279,517,474
"ENSMUSG00000028910.12",1051,903,1030,1003,1777,1021,1297,1442
"ENSMUSG00000028911.16",43,26,31,70,33,15,48,76
"ENSMUSG00000028914.13",393,535,853,631,758,449,913,933
"ENSMUSG00000028917.14",124,90,239,184,144,97,192,260
"ENSMUSG00000028919.11",479,531,924,562,817,487,1018,794
"ENSMUSG00000028920.9",309,426,796,597,513,339,808,891
"ENSMUSG00000028923.14",545,674,609,815,1089,526,789,1328
"ENSMUSG00000028926.15",1994,2248,4385,3192,2584,2383,4920,4524
"ENSMUSG00000028927.6",1158,1208,2307,1518,2021,1206,2791,2147
"ENSMUSG00000028931.11",240,405,544,470,483,323,511,895
"ENSMUSG00000028932.7",6765,5471,5025,6192,7664,4777,6149,6984
"ENSMUSG00000028933.11",82,123,144,170,181,92,92,155
"ENSMUSG00000028936.15",17777,10788,18286,15319,16563,12213,13645,18277
"ENSMUSG00000028937.14",6887,4859,4602,5390,7232,4671,7768,8493
"ENSMUSG00000028938.9",0,0,0,0,0,0,0,0
"ENSMUSG00000028940.2",0,0,0,0,0,0,0,0
"ENSMUSG00000028943.18",114,63,181,178,177,147,160,290
"ENSMUSG00000028944.14",614,958,874,1013,1256,683,951,1386
"ENSMUSG00000028945.9",1673,1230,1912,3722,3818,1294,2647,3957
"ENSMUSG00000028946.6",0,0,0,0,0,0,0,0
"ENSMUSG00000028948.16",355,384,625,410,453,301,567,552
"ENSMUSG00000028949.13",51,53,72,59,94,55,76,126
"ENSMUSG00000028950.3",15,13,8,17,24,12,6,19
"ENSMUSG00000028952.12",217,242,256,351,238,174,290,434
"ENSMUSG00000028953.10",2225,2187,2248,2096,2771,1650,3107,3083
"ENSMUSG00000028954.11",935,1239,1081,1116,1294,886,1210,1572
"ENSMUSG00000028955.3",1015,1482,846,1641,1446,775,819,1780
"ENSMUSG00000028957.12",117,469,298,615,645,171,558,743
"ENSMUSG00000028958.14",962,805,517,876,1074,631,799,1075
"ENSMUSG00000028959.14",971,1432,956,1707,1922,971,1258,2651
"ENSMUSG00000028960.18",1445,1634,1979,1625,1398,1267,1843,2077
"ENSMUSG00000028961.15",1759,1724,1402,1724,1842,1047,1873,2123
"ENSMUSG00000028962.14",320,384,634,535,518,315,513,575
"ENSMUSG00000028963.1",0,0,0,0,0,0,0,0
"ENSMUSG00000028964.14",24724,13891,17328,17775,22090,16017,22314,21818
"ENSMUSG00000028965.13",19,15,7,25,28,35,19,50
"ENSMUSG00000028967.10",377,347,610,435,384,296,469,505
"ENSMUSG00000028969.10",2518,2133,2142,2906,2940,2029,2864,3952
"ENSMUSG00000028970.9",11,13,17,1,1,12,3,17
"ENSMUSG00000028971.4",1,2,1,2,1,0,1,9
"ENSMUSG00000028972.11",0,0,0,0,0,4,0,0
"ENSMUSG00000028973.18",599,824,542,806,1016,435,770,1173
"ENSMUSG00000028974.13",1085,1020,1131,1178,1189,853,1645,1860
"ENSMUSG00000028975.16",276,232,238,270,282,184,285,437
"ENSMUSG00000028976.10",52,30,37,44,35,19,40,62
"ENSMUSG00000028977.16",148,111,232,215,182,106,176,232
"ENSMUSG00000028978.12",17,23,7,31,31,17,9,39
"ENSMUSG00000028979.17",0,2,4,1,0,1,0,2
"ENSMUSG00000028980.14",87,105,47,52,43,26,38,71
"ENSMUSG00000028982.9",232,145,400,261,243,165,381,234
"ENSMUSG00000028986.12",656,1167,917,1293,1203,758,847,1173
"ENSMUSG00000028988.13",1114,661,1488,859,1195,854,1316,1254
"ENSMUSG00000028989.3",2,5,1,0,0,2,2,2
"ENSMUSG00000028990.13",1550,1301,1307,1697,2005,1275,1519,1910
"ENSMUSG00000028991.15",307,492,221,313,242,141,253,333
"ENSMUSG00000028992.13",307,261,268,322,377,261,267,380
"ENSMUSG00000028995.14",331,347,518,353,342,228,486,406
"ENSMUSG00000028996.9",3,1,15,2,3,2,3,11
"ENSMUSG00000028998.6",12007,5678,9248,7769,9702,8391,7597,9629
"ENSMUSG00000028999.15",612,710,620,764,866,490,679,934
"ENSMUSG00000029001.15",1820,1494,1499,2016,2350,1389,2652,3228
"ENSMUSG00000029003.11",1574,1259,1657,1966,2488,1167,2397,2659
"ENSMUSG00000029004.15",3675,3735,5927,5327,4610,3282,5402,5909
"ENSMUSG00000029005.4",184,109,312,167,208,183,211,252
"ENSMUSG00000029007.8",289,283,355,238,398,236,363,413
"ENSMUSG00000029009.17",318,397,548,531,395,268,424,634
"ENSMUSG00000029012.11",673,907,555,1117,986,651,485,1096
"ENSMUSG00000029014.14",1662,1207,2634,1546,1483,1410,1563,1747
"ENSMUSG00000029015.9",0,0,0,0,1,0,0,1
"ENSMUSG00000029016.13",195,162,365,251,160,120,190,243
"ENSMUSG00000029017.13",1558,1799,1018,1848,1748,1159,1054,2105
"ENSMUSG00000029019.8",0,0,0,6,0,0,2,0
"ENSMUSG00000029020.13",732,1023,1042,1108,934,611,1403,1560
"ENSMUSG00000029022.18",278,321,249,537,527,220,527,669
"ENSMUSG00000029026.16",1,0,0,7,6,2,2,0
"ENSMUSG00000029027.8",183,234,168,162,302,142,233,381
"ENSMUSG00000029028.14",164,207,223,191,311,225,396,459
"ENSMUSG00000029029.14",1035,947,787,1092,1435,915,1250,1496
"ENSMUSG00000029030.14",1986,1339,2740,1746,1827,1567,2344,2735
"ENSMUSG00000029032.12",282,383,446,355,591,321,570,689
"ENSMUSG00000029033.16",369,313,791,366,417,306,772,791
"ENSMUSG00000029034.9",382,595,557,1105,1172,455,881,1278
"ENSMUSG00000029036.18",565,431,524,488,690,466,802,970
"ENSMUSG00000029038.9",4152,3092,3043,4063,5118,3503,4325,5663
"ENSMUSG00000029044.9",0,0,0,0,0,0,0,0
"ENSMUSG00000029047.13",243,306,323,276,355,204,429,563
"ENSMUSG00000029048.3",1234,1507,1473,1817,1877,1013,1094,1673
"ENSMUSG00000029049.14",112,85,102,99,92,91,98,172
"ENSMUSG00000029050.15",1250,1019,2485,1348,1179,931,1783,1679
"ENSMUSG00000029053.16",777,732,798,1011,788,542,1069,1382
"ENSMUSG00000029054.8",0,8,0,0,0,0,0,0
"ENSMUSG00000029055.17",191,190,360,258,310,213,464,500
"ENSMUSG00000029056.13",324,318,482,491,457,263,468,581
"ENSMUSG00000029059.9",2483,1772,2120,2644,2810,2067,2858,3229
"ENSMUSG00000029060.17",97,122,239,177,233,89,217,261
"ENSMUSG00000029061.2",17,9,7,6,18,2,17,22
"ENSMUSG00000029062.14",2660,1932,2626,2369,2475,1869,2599,2656
"ENSMUSG00000029063.16",774,1186,1676,1736,1624,953,1626,2482
"ENSMUSG00000029064.15",20881,76927,39698,128609,77217,36167,65080,126411
"ENSMUSG00000029066.12",10944,6160,7128,8544,9183,7423,7493,9804
"ENSMUSG00000029068.16",664,430,917,742,466,524,702,843
"ENSMUSG00000029070.9",156,148,150,66,135,42,158,162
"ENSMUSG00000029071.16",232,168,502,291,263,155,435,352
"ENSMUSG00000029072.3",7,9,7,3,8,9,13,9
"ENSMUSG00000029073.9",826,950,496,1169,1165,649,1067,1778
"ENSMUSG00000029074.14",65,26,41,27,80,22,60,78
"ENSMUSG00000029075.6",1,3,2,0,4,6,2,16
"ENSMUSG00000029076.14",2983,2631,2714,3068,3217,2190,2877,3794
"ENSMUSG00000029082.17",0,0,0,0,0,0,0,0
"ENSMUSG00000029084.5",13,19,36,19,9,27,6,34
"ENSMUSG00000029086.15",195,324,410,249,325,127,275,336
"ENSMUSG00000029088.16",264,405,383,655,373,346,400,602
"ENSMUSG00000029089.8",496,520,376,601,669,458,501,803
"ENSMUSG00000029090.12",739,612,1425,759,861,536,1061,822
"ENSMUSG00000029092.9",0,0,0,0,0,0,0,0
"ENSMUSG00000029093.14",90,83,120,70,52,41,68,91
"ENSMUSG00000029094.12",2587,3319,4412,4148,3326,2486,4565,5653
"ENSMUSG00000029095.17",27,11,23,12,8,10,13,45
"ENSMUSG00000029096.15",43,67,34,66,16,6,30,38
"ENSMUSG00000029097.11",85,98,158,107,101,77,110,114
"ENSMUSG00000029098.16",137,201,237,210,233,118,246,240
"ENSMUSG00000029101.14",803,772,1220,783,975,696,1264,1581
"ENSMUSG00000029102.9",0,1,5,0,2,0,0,1
"ENSMUSG00000029103.16",1544,1780,1088,1515,1735,1037,1397,1728
"ENSMUSG00000029104.15",169,186,194,181,123,77,177,190
"ENSMUSG00000029106.14",2240,2663,3172,2523,2754,1945,3623,4001
"ENSMUSG00000029108.14",416,457,623,336,396,296,539,395
"ENSMUSG00000029110.13",2303,3828,3166,4542,4830,2476,3676,6268
"ENSMUSG00000029111.7",1122,1429,1171,1466,1899,1037,1762,2270
"ENSMUSG00000029112.5",0,0,0,1,0,0,0,0
"ENSMUSG00000029119.9",122,141,103,90,123,68,134,215
"ENSMUSG00000029120.10",696,633,1393,773,732,539,1486,1242
"ENSMUSG00000029121.15",3989,3072,5783,4206,4152,3567,6604,6770
"ENSMUSG00000029122.11",73,94,180,177,126,106,182,120
"ENSMUSG00000029123.8",362,623,404,590,456,270,460,744
"ENSMUSG00000029125.14",698,578,541,759,790,492,630,1021
"ENSMUSG00000029126.7",3200,3716,3413,5137,4325,3092,4340,6431
"ENSMUSG00000029127.15",49,77,105,139,120,42,113,158
"ENSMUSG00000029128.12",1312,1749,1612,2484,2043,1272,1170,2521
"ENSMUSG00000029130.12",533,438,418,757,701,582,624,838
"ENSMUSG00000029131.14",3580,5431,5631,7624,6769,4869,5786,7719
"ENSMUSG00000029134.14",0,2,0,1,2,1,0,8
"ENSMUSG00000029135.10",20,57,31,45,55,23,23,22
"ENSMUSG00000029136.9",36,19,16,50,18,17,42,29
"ENSMUSG00000029138.4",0,0,0,0,0,0,0,0
"ENSMUSG00000029141.16",390,428,533,431,540,384,425,587
"ENSMUSG00000029145.12",1087,1083,1148,1259,1387,818,1265,1605
"ENSMUSG00000029146.14",3440,3539,3037,4009,4701,2753,3757,5372
"ENSMUSG00000029147.10",1173,979,1824,1213,1745,1322,1910,2040
"ENSMUSG00000029148.15",1078,1236,1262,1563,1429,862,1367,2001
"ENSMUSG00000029149.14",128,87,123,141,247,131,178,172
"ENSMUSG00000029151.14",0,0,1,9,0,4,0,0
"ENSMUSG00000029152.13",3865,3106,3164,3948,3595,2568,2849,4025
"ENSMUSG00000029153.11",570,471,392,547,765,430,492,582
"ENSMUSG00000029154.13",70,15,21,49,25,43,21,58
"ENSMUSG00000029155.16",3,1,0,5,2,1,5,7
"ENSMUSG00000029156.11",108,190,152,276,236,77,154,358
"ENSMUSG00000029158.9",0,0,0,0,0,0,0,0
"ENSMUSG00000029161.7",76,94,211,100,82,63,139,139
"ENSMUSG00000029162.15",405,381,334,327,380,292,346,461
"ENSMUSG00000029163.9",930,984,888,958,471,335,435,1007
"ENSMUSG00000029165.16",180,246,325,372,271,195,340,390
"ENSMUSG00000029166.14",429,332,742,452,589,333,935,857
"ENSMUSG00000029167.13",85,93,125,177,90,88,140,204
"ENSMUSG00000029168.14",1401,1572,2532,1938,2106,1334,2619,2991
